ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-3Z-A93Z-01	610.09	714.61	1324.7
TCGA-6D-AA2E-01	-73.89	124.86	50.97
TCGA-A3-3306-01	-145.93	684.74	538.8
TCGA-A3-3307-01	474.33	1156.91	1631.23
TCGA-A3-3308-01	1187.87	804.11	1991.98
TCGA-A3-3311-01	890.93	1260.76	2151.69
TCGA-A3-3313-01	-168.7	-322.32	-491.02
TCGA-A3-3316-01	1454.58	1026.4	2480.98
TCGA-A3-3317-01	1011.81	1026.87	2038.68
TCGA-A3-3319-01	-26.86	1088.46	1061.6
TCGA-A3-3320-01	468.48	632.25	1100.74
TCGA-A3-3322-01	718.38	448.87	1167.25
TCGA-A3-3323-01	1054.4	1448.38	2502.77
TCGA-A3-3324-01	546.96	1146.86	1693.82
TCGA-A3-3325-01	949.3	963.57	1912.87
TCGA-A3-3326-01	479.43	1820.32	2299.74
TCGA-A3-3328-01	-1504.5	-825.74	-2330.24
TCGA-A3-3329-01	478.38	1214.3	1692.68
TCGA-A3-3331-01	749.85	1151.85	1901.7
TCGA-A3-3335-01	-87.2	447.41	360.21
TCGA-A3-3343-01	245.59	1516.41	1762
TCGA-A3-3346-01	-72.18	1548.12	1475.94
TCGA-A3-3347-01	1597.99	1878.11	3476.1
TCGA-A3-3349-01	1382.41	882.55	2264.96
TCGA-A3-3351-01	765.68	1976.59	2742.26
TCGA-A3-3352-01	402.67	1033.93	1436.61
TCGA-A3-3357-01	138.54	1312.34	1450.88
TCGA-A3-3358-01	919.95	1784.43	2704.38
TCGA-A3-3359-01	631.36	1408.28	2039.64
TCGA-A3-3362-01	828.86	457.65	1286.51
TCGA-A3-3363-01	-351.86	463.31	111.45
TCGA-A3-3365-01	1052.66	863.18	1915.84
TCGA-A3-3367-01	516.75	892.93	1409.68
TCGA-A3-3370-01	1000.47	1580.05	2580.52
TCGA-A3-3372-01	775.91	1026.96	1802.88
TCGA-A3-3373-01	786.49	720.67	1507.16
TCGA-A3-3374-01	127.38	1533.12	1660.5
TCGA-A3-3376-01	1403.37	1221.25	2624.62
TCGA-A3-3378-01	897.23	2159.01	3056.24
TCGA-A3-3380-01	745.09	727.31	1472.4
TCGA-A3-3382-01	516.4	993.57	1509.97
TCGA-A3-3383-01	318.58	1600.58	1919.16
TCGA-A3-3385-01	-171.26	-75.88	-247.15
TCGA-A3-3387-01	1188.45	1388.39	2576.84
TCGA-A3-A6NI-01	356.54	882.38	1238.93
TCGA-A3-A6NJ-01	557.29	1777.94	2335.22
TCGA-A3-A6NL-01	883.82	1320.06	2203.88
TCGA-A3-A6NN-01	913.93	1111.27	2025.2
TCGA-A3-A8CQ-01	668.52	481.82	1150.34
TCGA-A3-A8OU-01	631.85	917.3	1549.15
TCGA-A3-A8OV-01	57.65	692.21	749.86
TCGA-A3-A8OW-01	480.77	697.74	1178.5
TCGA-A3-A8OX-01	998.8	1203.69	2202.49
TCGA-AK-3425-01	1207.18	1912.13	3119.31
TCGA-AK-3426-01	1164.03	3076.4	4240.42
TCGA-AK-3427-01	-1243.73	-565.88	-1809.61
TCGA-AK-3428-01	434.97	935.6	1370.58
TCGA-AK-3429-01	358.32	1880.41	2238.72
TCGA-AK-3431-01	1394.73	930.88	2325.61
TCGA-AK-3433-01	-836.61	-534.95	-1371.56
TCGA-AK-3434-01	625.84	1066.6	1692.44
TCGA-AK-3436-01	197.76	389.78	587.54
TCGA-AK-3440-01	-1250.56	-604.27	-1854.82
TCGA-AK-3443-01	-1439	-1000.19	-2439.19
TCGA-AK-3444-01	305.88	631.25	937.13
TCGA-AK-3445-01	765.55	1515.53	2281.08
TCGA-AK-3447-01	-1080.6	-229.44	-1310.03
TCGA-AK-3450-01	126.75	381.6	508.35
TCGA-AK-3451-01	398.56	1255.78	1654.34
TCGA-AK-3453-01	-967.5	-609.33	-1576.83
TCGA-AK-3454-01	313.09	569.37	882.46
TCGA-AK-3455-01	-134.02	1566.25	1432.23
TCGA-AK-3456-01	-391.18	400.58	9.41
TCGA-AK-3458-01	-99.24	748.24	649.01
TCGA-AK-3460-01	689.29	858.65	1547.94
TCGA-AK-3461-01	695.86	847.56	1543.41
TCGA-AK-3465-01	-345.71	-853.56	-1199.26
TCGA-AS-3777-01	-454.21	-246.68	-700.9
TCGA-AS-3778-01	819.38	705.14	1524.53
TCGA-B0-4688-01	211.12	642.84	853.96
TCGA-B0-4690-01	1164.9	2023.94	3188.84
TCGA-B0-4691-01	578.39	1393.38	1971.76
TCGA-B0-4693-01	258.35	1390.63	1648.99
TCGA-B0-4694-01	1183.21	2223.5	3406.71
TCGA-B0-4696-01	61	-318.31	-257.32
TCGA-B0-4697-01	1002.62	2795.4	3798.02
TCGA-B0-4698-01	-490.09	1904.26	1414.17
TCGA-B0-4699-01	486.8	1276.58	1763.38
TCGA-B0-4700-01	1490.68	2318.38	3809.06
TCGA-B0-4701-01	439.34	1291.26	1730.6
TCGA-B0-4703-01	1575.87	1450.38	3026.25
TCGA-B0-4706-01	190.58	555.51	746.09
TCGA-B0-4707-01	-29.51	217.63	188.12
TCGA-B0-4710-01	649.25	789.85	1439.09
TCGA-B0-4712-01	989.4	1594.8	2584.2
TCGA-B0-4713-01	-44.12	744.92	700.8
TCGA-B0-4714-01	674.72	2145.58	2820.3
TCGA-B0-4718-01	440.58	982.06	1422.63
TCGA-B0-4810-01	1123.82	1726.88	2850.7
TCGA-B0-4811-01	310.65	473.12	783.77
TCGA-B0-4813-01	251.13	415.95	667.08
TCGA-B0-4814-01	491.08	313.1	804.18
TCGA-B0-4815-01	827.78	2501.36	3329.14
TCGA-B0-4816-01	1001.51	1756.99	2758.5
TCGA-B0-4817-01	-399.92	1425.09	1025.17
TCGA-B0-4818-01	508.32	1228.65	1736.96
TCGA-B0-4819-01	1191.42	2822.27	4013.68
TCGA-B0-4821-01	-302.6	615	312.4
TCGA-B0-4822-01	964.93	1278.01	2242.94
TCGA-B0-4823-01	1119.87	1249.96	2369.82
TCGA-B0-4824-01	734.36	1752.35	2486.71
TCGA-B0-4827-01	1308.07	1485.42	2793.5
TCGA-B0-4828-01	-512.46	535.95	23.49
TCGA-B0-4833-01	517.21	1344.53	1861.74
TCGA-B0-4834-01	-624.46	-795.86	-1420.32
TCGA-B0-4836-01	819.51	1365.81	2185.32
TCGA-B0-4837-01	862.82	613.56	1476.37
TCGA-B0-4838-01	476.39	1842.77	2319.15
TCGA-B0-4839-01	845.25	1428.98	2274.23
TCGA-B0-4841-01	820.83	769.15	1589.99
TCGA-B0-4842-01	551.68	1790.7	2342.38
TCGA-B0-4843-01	962.22	687.11	1649.33
TCGA-B0-4844-01	65.38	767.51	832.88
TCGA-B0-4845-01	252.44	336.75	589.19
TCGA-B0-4846-01	811.18	1338.61	2149.79
TCGA-B0-4847-01	-8.86	2219.83	2210.98
TCGA-B0-4848-01	957.28	1418.24	2375.52
TCGA-B0-4849-01	483.12	1063.43	1546.55
TCGA-B0-4852-01	514.17	628.4	1142.57
TCGA-B0-4945-01	519.01	540.86	1059.87
TCGA-B0-5075-01	210.21	1696.74	1906.94
TCGA-B0-5077-01	315.71	794.52	1110.22
TCGA-B0-5080-01	1510.24	1341.05	2851.29
TCGA-B0-5081-01	1280.68	2566.31	3846.99
TCGA-B0-5083-01	1236.18	1248.51	2484.69
TCGA-B0-5084-01	-508.47	196.54	-311.93
TCGA-B0-5085-01	60.67	591.02	651.69
TCGA-B0-5088-01	1086.4	1490.93	2577.33
TCGA-B0-5092-01	579.78	2386.52	2966.29
TCGA-B0-5094-01	-167.56	309.67	142.11
TCGA-B0-5095-01	1470.56	959.2	2429.76
TCGA-B0-5096-01	900.62	1405.8	2306.41
TCGA-B0-5097-01	1605.72	1413.95	3019.68
TCGA-B0-5098-01	-1557.91	-1158.94	-2716.84
TCGA-B0-5099-01	-164.49	-435.19	-599.68
TCGA-B0-5100-01	936.96	135.61	1072.57
TCGA-B0-5102-01	-79.37	541.04	461.67
TCGA-B0-5104-01	195.34	574.55	769.89
TCGA-B0-5106-01	801.38	1536.2	2337.58
TCGA-B0-5107-01	-837.81	1342.79	504.98
TCGA-B0-5108-01	1623.71	2022.84	3646.55
TCGA-B0-5109-01	185.74	1528.12	1713.86
TCGA-B0-5110-01	968.27	740.7	1708.97
TCGA-B0-5113-01	805.66	1141.6	1947.26
TCGA-B0-5115-01	841.5	894.15	1735.65
TCGA-B0-5116-01	453.09	-3.16	449.93
TCGA-B0-5117-01	-451.07	-705.37	-1156.44
TCGA-B0-5119-01	575.04	708.2	1283.24
TCGA-B0-5120-01	1269.59	980.57	2250.16
TCGA-B0-5121-01	739.83	1228.7	1968.53
TCGA-B0-5399-01	826.01	1179.98	2005.99
TCGA-B0-5400-01	783.84	1358.99	2142.83
TCGA-B0-5402-01	837.11	735.96	1573.07
TCGA-B0-5690-01	862.49	1067.51	1930
TCGA-B0-5691-01	1213.88	791.25	2005.13
TCGA-B0-5692-01	34.21	2037.15	2071.35
TCGA-B0-5693-01	627.07	77.72	704.79
TCGA-B0-5694-01	708.78	860.2	1568.98
TCGA-B0-5695-01	458.22	308.28	766.49
TCGA-B0-5696-01	428	429.09	857.08
TCGA-B0-5697-01	455.59	1768.43	2224.02
TCGA-B0-5698-01	393.05	1631.24	2024.29
TCGA-B0-5699-01	33.22	852.86	886.08
TCGA-B0-5700-01	331.39	681.73	1013.12
TCGA-B0-5701-01	130.92	1019.1	1150.02
TCGA-B0-5702-01	728.49	1383.73	2112.22
TCGA-B0-5703-01	37.52	712.73	750.25
TCGA-B0-5705-01	347.54	939.43	1286.97
TCGA-B0-5706-01	645.73	1886.88	2532.61
TCGA-B0-5707-01	-443.43	135.4	-308.03
TCGA-B0-5709-01	1611.67	2116.2	3727.86
TCGA-B0-5710-01	757.94	891.59	1649.53
TCGA-B0-5711-01	726.11	997.22	1723.33
TCGA-B0-5712-01	-213.37	134.98	-78.39
TCGA-B0-5713-01	444.35	785.1	1229.44
TCGA-B0-5812-01	1138.58	991.4	2129.98
TCGA-B2-3923-01	-738.72	-415.21	-1153.93
TCGA-B2-3924-01	642.72	2318.48	2961.2
TCGA-B2-4098-01	33.97	1102.61	1136.58
TCGA-B2-4099-01	460.14	1605.11	2065.25
TCGA-B2-4101-01	821.73	1593.57	2415.3
TCGA-B2-4102-01	655.9	1467.44	2123.34
TCGA-B2-5633-01	966.69	1299.35	2266.04
TCGA-B2-5635-01	620.34	1723.45	2343.8
TCGA-B2-5636-01	862.93	406.37	1269.3
TCGA-B2-5639-01	331.4	1203.48	1534.87
TCGA-B2-5641-01	716.8	1990.35	2707.15
TCGA-B2-A4SR-01	606.84	928.39	1535.23
TCGA-B4-5377-01	468.1	1018.35	1486.45
TCGA-B4-5378-01	382.73	13.63	396.36
TCGA-B4-5832-01	1143.46	1058.49	2201.95
TCGA-B4-5834-01	832.64	578.47	1411.12
TCGA-B4-5835-01	-377.89	629.05	251.15
TCGA-B4-5836-01	967.43	1000	1967.42
TCGA-B4-5838-01	733.85	272.91	1006.75
TCGA-B4-5843-01	709.3	229.99	939.29
TCGA-B4-5844-01	656.3	473.76	1130.06
TCGA-B8-4143-01	667.37	1974.95	2642.33
TCGA-B8-4146-01	473.69	1141.97	1615.66
TCGA-B8-4148-01	497.97	1943.23	2441.2
TCGA-B8-4151-01	54.67	337.65	392.31
TCGA-B8-4153-01	245.92	589.53	835.45
TCGA-B8-4154-01	528.55	1302.32	1830.87
TCGA-B8-4619-01	-274.21	-447.89	-722.09
TCGA-B8-4620-01	1153.12	1305.8	2458.92
TCGA-B8-4621-01	-346.62	813.93	467.32
TCGA-B8-4622-01	749.19	1409.56	2158.74
TCGA-B8-5158-01	635.81	1408.82	2044.63
TCGA-B8-5159-01	418.94	789.25	1208.18
TCGA-B8-5162-01	1781.35	2742.27	4523.63
TCGA-B8-5163-01	1802.33	2120.71	3923.03
TCGA-B8-5164-01	594.79	2440.51	3035.31
TCGA-B8-5165-01	1129.52	605.36	1734.88
TCGA-B8-5545-01	1488.43	1263.86	2752.29
TCGA-B8-5546-01	-765.38	-655.52	-1420.89
TCGA-B8-5549-01	592.76	1075.49	1668.25
TCGA-B8-5550-01	1477.17	943.24	2420.4
TCGA-B8-5551-01	959.97	2823.31	3783.28
TCGA-B8-5552-01	1457.97	1388.21	2846.18
TCGA-B8-5553-01	810.78	1412.1	2222.88
TCGA-B8-A54D-01	242.07	2019.62	2261.7
TCGA-B8-A54E-01	-842.03	-67.87	-909.9
TCGA-B8-A54F-01	930.06	1002.22	1932.29
TCGA-B8-A54G-01	101.1	2752.91	2854.01
TCGA-B8-A54H-01	407.23	860.91	1268.13
TCGA-B8-A54I-01	546.29	1871.67	2417.96
TCGA-B8-A54J-01	632.87	1068.25	1701.12
TCGA-B8-A54K-01	-390.88	-634.03	-1024.91
TCGA-B8-A7U6-01	735.36	844.11	1579.46
TCGA-B8-A8YJ-01	1707.66	1656.95	3364.61
TCGA-BP-4158-01	535.95	478.68	1014.63
TCGA-BP-4159-01	1072.45	1096.44	2168.9
TCGA-BP-4160-01	1000.94	1996.9	2997.84
TCGA-BP-4161-01	563.34	1904.44	2467.78
TCGA-BP-4162-01	581.77	1744.67	2326.44
TCGA-BP-4163-01	776.67	1166.4	1943.07
TCGA-BP-4164-01	-91.59	317.07	225.49
TCGA-BP-4165-01	544.47	1135.79	1680.26
TCGA-BP-4166-01	1079.1	984.82	2063.92
TCGA-BP-4167-01	1798.15	2501.47	4299.62
TCGA-BP-4169-01	1544.81	1764.34	3309.15
TCGA-BP-4170-01	1006.41	1422.66	2429.07
TCGA-BP-4173-01	1369.13	2996.48	4365.6
TCGA-BP-4174-01	326.65	1198.29	1524.94
TCGA-BP-4176-01	1120.4	1823.77	2944.17
TCGA-BP-4177-01	317.29	-283.64	33.65
TCGA-BP-4325-01	332.26	1248.62	1580.88
TCGA-BP-4326-01	796.33	695.95	1492.28
TCGA-BP-4327-01	446.31	514.56	960.88
TCGA-BP-4329-01	1097.7	1125.91	2223.62
